,Date,news
0,31-01-2022,Covid war room to resume operation in Kerala
1,31-01-2022,MP vs MLA: War of words continues
2,30-01-2022,No more ‘let’s grab a drink sometime’... Dry dating is trending during the pandemic
3,30-01-2022,Arjun triumphs in Tata Challengers
4,30-01-2022,Audio books link digital education with traditional oral teaching amid pandemic
5,29-01-2022,US warns of war if Russia invades Ukraine
6,29-01-2022,US warns of war if Russia invades Ukraine
7,29-01-2022,This mth saw highest Covid cases since pandemic began
8,29-01-2022,Bengaluru: Iconic image from World War II being replicated in Padmanabhanagar park
9,28-01-2022,Sensex tanks 581 points as Federal Reserve signals rate hike
10,28-01-2022,Sensex tanks 581 pts as hawkish Fed roils mkts
11,28-01-2022,DK schools gear up for SSLC exam amidst pandemic
12,28-01-2022,DK schools gear up for SSLC exam amidst pandemic
13,27-01-2022,"Fed says US interest rates could rise in March, Powell expects inflation to fall this year"
14,27-01-2022,Wellness vacays see rise in popularity amid pandemic stress
15,27-01-2022,"Sensex slumps over 1,100 points in early trade; Nifty falls below 16,950"
16,27-01-2022,Tata Steel Masters: R Praggnanandhaa beats Vidit Gujrathi; Carlsen stays in front
17,27-01-2022,No chance of reduction in inflation for another three months: Pak finance minister
18,27-01-2022,Chennai Corporation pays Rs 12 lakh to MTC for ferrying workers during Sunday lockdown
19,26-01-2022,Union Budget 2022: Households wrestle with inflation as incomes dip
20,26-01-2022,60% of police awards go to J&K amid war on terror
21,26-01-2022,"After 5-day losing streak, sensex sees bounceback"
22,26-01-2022,Automobile industry’s semiconductor crisis is exacerbated by use of older generation chips
23,26-01-2022,"After 5-day losing streak, sensex sees bounceback"
24,26-01-2022,Pandemic hits tricolour sales in Jaipur
25,25-01-2022,"Sensex dives 1,500 points on selling by foreign funds"
26,25-01-2022,Pandemic effect: General medicine gets an edge in Karnataka colleges
27,25-01-2022,"Sensex dives 1.5k pts on selling by foreign funds, LTCG rumour"
28,25-01-2022,"Won’t defer civic polls, but monitor it for pandemic protocol: Madras HC"
29,25-01-2022,"Delhi: BJP, AAP in a war of words over Lokpal issue"
30,25-01-2022,Netaji legacy: BJP-TMC war of words on
31,25-01-2022,Pune: Covid pandemic plays spoilsport for couples this year too
32,24-01-2022,"Rate of hospitalisation drops below 1%, lowest in pandemic"
33,24-01-2022,"As pandemic lingers, schools go to forgotten students in hour of need"
34,24-01-2022,Assam Baibhav award for Ratan Tata
35,23-01-2022,"Pune: From war of words to fisticuffs, all because of the humble mask"
36,23-01-2022,Coimbatore: Tipplers throng Tasmac shops to stock up ahead of lockdown
37,22-01-2022,Shilpa Shetty shares a post about 'Letting go': Lose some battles to win the war
38,22-01-2022,"Andhra Pradesh: V Vijayasai Reddy heckles rebel MP, war of words escalates on Twitter"
39,22-01-2022,"Grain traders urge govt to end curfew, lockdown"
40,21-01-2022,"Amar Jawan Jyoti to be put out, ‘merged’ with flame at National War Memorial"
41,21-01-2022,"Sensex tanks 634 pts, loses 1.8k in 3 days"
42,21-01-2022,"HUL Q3 net up 17% at ₹2,243cr amid inflation"
43,21-01-2022,"HUL Q3 net up 17% at Rs 2,243cr amid inflation"
44,21-01-2022,"Sensex tanks 634 points, loses 1.8k in 3 days"
45,20-01-2022,NSE top in derivatives globally
46,20-01-2022,"Rising US yields, crude prices spook St, sensex dips 656 pts"
47,20-01-2022,NSE top derivatives trading exchange globally
48,20-01-2022,Tata Power to move CERC over move to exit pact with NTPC
49,19-01-2022,Sensex tanks nearly 1% on global cues
50,19-01-2022,"Karnataka: Fever clinics, Covid war rooms to come up in villages"
51,19-01-2022,More than 150 cops in Visakhapatnam hit by pandemic
52,19-01-2022,HC junks Tata Power plea to exit NTPC pact for sourcing electricity
53,19-01-2022,More than 150 cops in Vizag hit by pandemic
54,18-01-2022,"Auto, energy stocks drive sensex gains"
55,18-01-2022,Bengaluru: Pandemic fuels dip in takers for auto permits
56,17-01-2022,Congress's 20 Uttarakhand seats caught in Rawat-rival tug of war
57,17-01-2022,"In lockdown years, rape cases more than halved in Noida"
58,17-01-2022,Maharashtra saw 13% rise in drowning deaths in lockdown year: NCRB
59,17-01-2022,Less adherence to total lockdown in Madurai
60,17-01-2022,Coimbatore: Lockdown mars Kaanum Pongal festivities
61,16-01-2022,"Tamil Nadu: AIADMK calls for war on ‘corrupt, dynastic’ DMK rule"
62,16-01-2022,Pandemic triggered loneliness in elderly: Study
63,15-01-2022,Pandemic casts shadow on Sankranti festivities
64,15-01-2022,"Builder occupied war hero’s land, booked"
65,15-01-2022,"Aurangabad police range clears 46,000 pending cases during lockdown"
66,14-01-2022,"Record US inflation growing concern for Fed, business"
67,14-01-2022,"Record US inflation growing concern for Fed, business"
68,14-01-2022,Pandemic crunch: Ahmedabad's Sundarvan zoo raising funds
69,14-01-2022,"Ahead of polls, SP sets up IT war room to connect with voters digitally"
70,14-01-2022,Prayagraj: Magh Mela begins today in shadow of pandemic
71,14-01-2022,Industry experts against lockdown
72,13-01-2022,"US inflation 'too high,' lowering it a priority: Fed's Brainard"
73,13-01-2022,"US inflation 'too high,' lowering it a priority: Fed's Brainard"
74,13-01-2022,Gujarat fails to reimburse schools for girls’ fee waiver in pandemic years
75,13-01-2022,"Precautions will continue, but no lockdown in city for now, says DC"
76,13-01-2022,"Sensex crosses 61k mark again, mcap at 280L cr"
77,13-01-2022,Maharashtra: Rs 207 crore netted in fines since the pandemic began in 2020
78,13-01-2022,PIB’s tweet on Vivekananda and 1857 freedom war stuns experts
79,13-01-2022,"Stocks up, dollar down; US inflation data surges as forecast"
80,13-01-2022,"Stocks up, dollar down; US inflation data surges as forecast"
81,13-01-2022,"Sensex crosses 61,000 mark again, BSE mcap hits Rs 280 lakh crore"
82,12-01-2022,"The pandemic taught me to value relationships, keep people close & love them dearly: Zakir Khan"
83,12-01-2022,Lockdown hits fitness industry again Gyms go the extra mile to attract customers this New Year
84,12-01-2022,Federal Reserve chief Jerome Powell pledges to fight inflation in second term
85,12-01-2022,"Govt set to become largest shareholder in Vodafone Idea, get stake in Tata Tele"
86,12-01-2022,Cyber harassment cases see upswing in pandemic
87,11-01-2022,Lockdown in Tamil Nadu: All places of worship shut from January 14 to 18
